ID Read success  
REG_MODE2 success
REG_REFMUX success
REG_MODE0 success
09/13/2022,  Range is 5[kV/m], Resistor is 2.2[kOhm]
Timestamp 	voltage[V] 	current[mA] 	field strength[kV/m]
22:21:04.781	-0.034270	-0.015577	-0.077886
22:21:04.832	-0.041592	-0.018905	-0.094526
22:21:04.883	0.006685	0.003039	0.015193
22:21:04.934	-0.043658	-0.019845	-0.099223
22:21:04.986	-0.025217	-0.011462	-0.057311
22:21:05.037	-0.008238	-0.003744	-0.018722
22:21:05.088	-0.043770	-0.019895	-0.099477
22:21:05.139	-0.054162	-0.024619	-0.123096
22:21:05.191	-0.043706	-0.019867	-0.099333
22:21:05.242	-0.038845	-0.017657	-0.088284
22:21:05.293	-0.037529	-0.017059	-0.085293
22:21:05.344	-0.033730	-0.015332	-0.076659
22:21:05.395	-0.047568	-0.021622	-0.108110
22:21:05.447	-0.038527	-0.017512	-0.087560
22:21:05.498	-0.042061	-0.019119	-0.095594
22:21:05.549	-0.046485	-0.021130	-0.105648
22:21:05.600	-0.067020	-0.030463	-0.152317
22:21:05.652	-0.036082	-0.016401	-0.082005
22:21:05.703	-0.048716	-0.022144	-0.110719
22:21:05.754	-0.030527	-0.013876	-0.069379
22:21:05.805	-0.057233	-0.026015	-0.130075
22:21:05.857	-0.035066	-0.015939	-0.079697
22:21:05.908	-0.035283	-0.016038	-0.080189
22:21:05.959	-0.037343	-0.016974	-0.084871
22:21:06.010	-0.036016	-0.016371	-0.081855
22:21:06.062	-0.050621	-0.023010	-0.115048
22:21:06.113	-0.035229	-0.016013	-0.080066
22:21:06.164	-0.056353	-0.025615	-0.128074
22:21:06.216	-0.037266	-0.016939	-0.084695
22:21:06.267	-0.060750	-0.027614	-0.138069
22:21:06.318	-0.079311	-0.036050	-0.180252
22:21:06.370	-0.039903	-0.018138	-0.090688
22:21:06.421	-0.041198	-0.018726	-0.093632
22:21:06.472	-0.047963	-0.021801	-0.109007
22:21:06.523	-0.020424	-0.009284	-0.046418
22:21:06.575	-0.030750	-0.013977	-0.069887
22:21:06.626	-0.094439	-0.042927	-0.214635
22:21:06.677	-0.021694	-0.009861	-0.049304
22:21:06.728	-0.022324	-0.010147	-0.050736
22:21:06.779	-0.145717	-0.066235	-0.331175
22:21:06.832	-0.024720	-0.011236	-0.056181
22:21:06.883	-0.034043	-0.015474	-0.077370
22:21:06.935	-0.025772	-0.011714	-0.058572
22:21:06.986	-0.014351	-0.006523	-0.032616
22:21:07.037	-0.014741	-0.006701	-0.033503
22:21:07.088	-0.014780	-0.006718	-0.033591
22:21:07.139	0.001172	0.000533	0.002663
22:21:07.190	0.000251	0.000114	0.000570
22:21:07.242	0.004050	0.001841	0.009204
22:21:07.293	0.002157	0.000980	0.004902
22:21:07.344	0.002147	0.000976	0.004879
22:21:07.395	0.001684	0.000766	0.003828
22:21:07.446	-0.000591	-0.000269	-0.001344
22:21:07.497	0.001470	0.000668	0.003341
22:21:07.548	-0.003905	-0.001775	-0.008875
22:21:07.599	-0.002163	-0.000983	-0.004916
22:21:07.650	0.000378	0.000172	0.000859
22:21:07.701	0.000302	0.000137	0.000686
22:21:07.753	0.000142	0.000064	0.000322
22:21:07.804	0.001803	0.000820	0.004098
22:21:07.855	0.000225	0.000102	0.000511
22:21:07.906	0.000402	0.000183	0.000914
22:21:07.957	-0.013751	-0.006250	-0.031252
22:21:08.008	0.001611	0.000732	0.003661
22:21:08.059	-0.000910	-0.000414	-0.002069
22:21:08.110	0.000921	0.000418	0.002092
22:21:08.162	-0.013676	-0.006216	-0.031082
22:21:08.213	-0.007746	-0.003521	-0.017604
22:21:08.264	0.002497	0.001135	0.005676
22:21:08.315	-0.016566	-0.007530	-0.037651
22:21:08.366	0.003339	0.001518	0.007589
22:21:08.418	0.002912	0.001324	0.006618
22:21:08.468	0.028641	0.013019	0.065094
22:21:08.519	0.033200	0.015091	0.075454
22:21:08.570	0.026051	0.011841	0.059207
22:21:08.621	0.024122	0.010965	0.054823
22:21:08.672	0.026418	0.012008	0.060041
22:21:08.723	0.026181	0.011900	0.059502
22:21:08.773	0.024579	0.011172	0.055862
22:21:08.824	0.025612	0.011642	0.058209
22:21:08.875	0.031578	0.014354	0.071769
22:21:08.926	0.031708	0.014413	0.072063
22:21:08.977	0.031021	0.014100	0.070501
22:21:09.028	0.025633	0.011651	0.058256
22:21:09.078	0.030088	0.013676	0.068382
22:21:09.130	-0.000913	-0.000415	-0.002076
22:21:09.181	0.002210	0.001005	0.005023
22:21:09.232	-0.000482	-0.000219	-0.001095
22:21:09.283	0.020995	0.009543	0.047715
22:21:09.334	0.029762	0.013528	0.067640
22:21:09.385	0.027999	0.012727	0.063634
22:21:09.436	0.032677	0.014853	0.074266
22:21:09.487	0.025504	0.011593	0.057963
22:21:09.537	0.031617	0.014371	0.071857
22:21:09.588	0.026995	0.012270	0.061352
22:21:09.639	0.031611	0.014369	0.071844
22:21:09.690	0.027989	0.012722	0.063610
22:21:09.741	0.029731	0.013514	0.067571
22:21:09.792	0.027649	0.012568	0.062839
22:21:09.842	0.029274	0.013306	0.066532
22:21:09.893	0.026230	0.011923	0.059613
22:21:09.944	0.022910	0.010414	0.052068
22:21:09.995	0.032899	0.014954	0.074770
22:21:10.046	0.026272	0.011942	0.059708
22:21:10.097	0.031933	0.014515	0.072576
22:21:10.148	0.031394	0.014270	0.071351
22:21:10.199	0.028014	0.012734	0.063669
22:21:10.250	0.019965	0.009075	0.045376
22:21:10.301	0.024050	0.010932	0.054660
22:21:10.352	0.015684	0.007129	0.035646
22:21:10.403	0.029179	0.013263	0.066316
22:21:10.454	0.023104	0.010502	0.052509
22:21:10.505	0.029477	0.013399	0.066993
22:21:10.555	0.034604	0.015729	0.078646
22:21:10.606	0.028841	0.013110	0.065548
22:21:10.657	0.034288	0.015585	0.077927
22:21:10.708	0.028881	0.013128	0.065640
22:21:10.759	0.024612	0.011187	0.055937
22:21:10.810	0.024811	0.011278	0.056388
22:21:10.861	0.033330	0.015150	0.075750
22:21:10.911	0.029388	0.013358	0.066790
22:21:10.962	0.034719	0.015781	0.078907
22:21:11.013	0.030666	0.013939	0.069696
22:21:11.064	0.007698	0.003499	0.017495
22:21:11.115	0.027304	0.012411	0.062055
22:21:11.166	0.029590	0.013450	0.067249
22:21:11.217	0.027071	0.012305	0.061526
22:21:11.268	0.022107	0.010049	0.050243
22:21:11.319	0.028759	0.013072	0.065362
22:21:11.370	0.028333	0.012879	0.064393
22:21:11.420	0.025760	0.011709	0.058547
22:21:11.471	0.030145	0.013702	0.068512
22:21:11.522	0.032127	0.014603	0.073017
22:21:11.573	0.028689	0.013040	0.065201
22:21:11.624	0.027352	0.012433	0.062164
22:21:11.675	0.023183	0.010538	0.052689
22:21:11.726	0.030132	0.013697	0.068483
22:21:11.776	0.029053	0.013206	0.066031
22:21:11.827	0.027596	0.012543	0.062717
22:21:11.878	0.015121	0.006873	0.034365
22:21:11.929	0.023779	0.010808	0.054042
22:21:11.980	0.027511	0.012505	0.062524
22:21:12.031	0.023905	0.010866	0.054330
22:21:12.082	-0.055924	-0.025420	-0.127099
22:21:12.132	0.029463	0.013392	0.066962
22:21:12.183	0.022803	0.010365	0.051824
22:21:12.234	0.020196	0.009180	0.045899
22:21:12.285	0.026929	0.012241	0.061203
22:21:12.336	0.016279	0.007400	0.036998
22:21:12.387	0.020640	0.009382	0.046910
22:21:12.438	0.033030	0.015014	0.075069
22:21:12.489	0.022882	0.010401	0.052005
22:21:12.540	0.034025	0.015466	0.077331
22:21:12.591	0.030757	0.013981	0.069903
22:21:12.641	0.033855	0.015389	0.076943
22:21:12.692	0.028001	0.012728	0.063638
22:21:12.743	0.033280	0.015127	0.075636
22:21:12.794	0.021733	0.009879	0.049393
22:21:12.845	0.036710	0.016686	0.083431
22:21:12.896	0.030137	0.013699	0.068494
22:21:12.947	0.036247	0.016476	0.082380
22:21:12.998	0.030789	0.013995	0.069975
22:21:13.048	0.033723	0.015328	0.076642
22:21:13.099	0.033181	0.015082	0.075411
22:21:13.150	0.024309	0.011049	0.055247
22:21:13.201	0.031518	0.014326	0.071632
22:21:13.252	0.036442	0.016565	0.082824
22:21:13.303	0.027676	0.012580	0.062900
22:21:13.354	0.034576	0.015717	0.078583
22:21:13.404	0.027091	0.012314	0.061570
22:21:13.455	0.032449	0.014749	0.073747
22:21:13.506	0.030810	0.014005	0.070023
22:21:13.557	0.033730	0.015332	0.076660
